x_m,y_m,z_m,U,V,W
0.0422409,0.0,0.0642727,-0.0003482,0.0009673,0.1374012
0.0422409,0.0,0.0658373,-0.0003482,0.0009673,0.1374012
0.0422409,0.0,0.0674019,-0.000327,0.0009838,0.1418696
0.0422409,0.0,0.0689666,-0.0003044,0.0009982,0.1460961
0.0422409,0.0,0.0705312,-0.0002869,0.0010065,0.1490455
0.0422409,0.0,0.0720958,-0.0002752,0.0010104,0.1509208
0.0422409,0.0,0.0736604,-0.0002524,0.0010113,0.1543981
0.0422409,0.0,0.075225,-0.0002378,0.001017,0.1559777
0.0422409,0.0,0.0767896,-0.0002015,0.0010416,0.1587754
0.0422409,0.0,0.0783543,-0.0001806,0.0010581,0.1599699
0.0422409,0.0,0.0799189,-0.0001343,0.0010976,0.1618831
0.0422409,0.0,0.0814835,-0.0001084,0.0011216,0.1625679
0.0422409,0.0,0.0830481,-4.85e-05,0.0011864,0.163283
0.0422409,0.0,0.0846127,-1.31e-05,0.0012327,0.1632552
0.0422409,0.0,0.0861773,7.39e-05,0.0013766,0.1622321
0.0422409,0.0,0.0877419,0.0001286,0.0014894,0.1611281
0.0422409,0.0,0.0893066,0.0002758,0.0018548,0.1573341
0.0422409,0.0,0.0908712,0.0003803,0.0021383,0.1543929
0.0422409,0.0,0.0924358,0.0007053,0.0029868,0.1453773
0.0422409,0.0,0.0940004,0.0009567,0.0035707,0.1386578
0.0422409,0.0,0.095565,0.0017101,0.005,0.1190649
0.0422409,0.0,0.0971296,0.0022177,0.0057661,0.1062222
0.0422409,0.0,0.0986943,0.0033578,0.0071652,0.0757407
0.0422409,0.0,0.1002589,0.0038776,0.0077103,0.0582142
0.0422409,0.0,0.1018235,0.0044914,0.0083222,0.0191889
0.0422409,0.0,0.1033881,0.0044973,0.0083495,-0.0015051
0.0422409,0.0,0.1049527,0.0039225,0.0078555,-0.0421406
0.0422409,0.0,0.1065173,0.0034311,0.0073777,-0.0610819
0.0422409,0.0,0.108082,0.0023314,0.0061293,-0.0949875
0.0422409,0.0,0.1096466,0.0018212,0.0054483,-0.109652
0.0422409,0.0,0.1112112,0.0010023,0.0041907,-0.1328702
0.0422409,0.0,0.1127758,0.0007063,0.0036564,-0.1413343
0.0422409,0.0,0.1143404,0.000301,0.0027727,-0.1535671
0.0422409,0.0,0.115905,0.0001573,0.0024254,-0.1579359
0.0422409,0.0,0.1174697,-6.69e-05,0.0019277,-0.1641528
0.0422409,0.0,0.1190343,-0.0001502,0.0017699,-0.166239
0.0422409,0.0,0.1205989,6.73e-05,0.00161,-0.1685331
0.0422409,0.0,0.1221635,-0.0002457,0.0015554,-0.1693724
0.0422409,0.0,0.1237281,-0.0001346,0.0015769,-0.1694546
0.0422409,0.0,0.1252928,-0.0003059,0.0014742,-0.1689788
0.0422409,0.0,0.1268574,-0.0002746,0.0014844,-0.1682318
0.0422409,0.0,0.128422,-0.0003341,0.0014298,-0.166043
0.0422409,0.0,0.1299866,-0.0003827,0.0014025,-0.1646242
0.0422409,0.0,0.1315512,-0.0001933,0.001462,-0.1617801
0.0422409,0.0,0.1331158,-0.000409,0.0013616,-0.158438
0.0422409,0.0,0.1346805,-0.000409,0.0013616,-0.158438
0.0422409,0.0,0.1362451,-0.0004247,0.0013501,-0.1542733
0.0422409,0.0,0.1378097,-0.0004452,0.0013317,-0.1497767
0.0422409,0.0,0.1393743,-0.0004626,0.0013094,-0.1449947
0.0422409,0.0,0.1409389,-0.0004397,0.0012994,-0.1399728
0.0422409,0.0,0.1425035,-0.0004397,0.0012994,-0.1399728
0.0422409,0.0,0.1440682,-0.0004525,0.0012748,-0.1347528
0.0422409,0.0,0.1456328,-0.0004623,0.0012504,-0.129372
0.0422409,0.0,0.1471974,-0.0004691,0.001227,-0.1238703
0.0422409,0.0,0.148762,-0.0004536,0.0012764,-0.1223517
0.0422409,0.0,0.1503266,-0.0004735,0.0012047,-0.1182861
0.0422409,0.0,0.1518912,-0.0004756,0.0011836,-0.1126547
0.0422409,0.0,0.1534559,-0.000476,0.0011637,-0.1070075
0.0422409,0.0,0.1550205,-0.0004778,0.0012845,-0.1027138
0.0422409,0.0,0.1565851,-0.0004748,0.0011451,-0.1013731
0.0422409,0.0,0.1581497,-0.0004724,0.0011275,-0.0957761
0.0422409,0.0,0.1597143,-0.0004691,0.0011111,-0.0902381
0.0422409,0.0,0.1612789,-0.0004651,0.0010956,-0.0847774
0.0422409,0.0,0.1628436,-0.0004903,0.0011798,-0.0840305
0.0422409,0.0,0.1644082,-0.0004605,0.001081,-0.0794094
0.0422409,0.0,0.1659728,-0.0004556,0.0010673,-0.0741464
0.0422409,0.0,0.1675374,-0.0004503,0.0010541,-0.068997
0.0422409,0.0,0.169102,-0.0005295,0.0012204,-0.0657551
0.0422409,0.0,0.1706666,-0.0004447,0.0010415,-0.0639663
0.0422409,0.0,0.1722313,-0.0004388,0.0010294,-0.059059
0.0422409,0.0,0.1737959,-0.0004327,0.0010177,-0.0542783
0.0422409,0.0,0.1753605,-0.0004264,0.0010065,-0.0496251
0.0422409,0.0,0.1769251,-0.0004264,0.0010065,-0.0496251
0.0422409,0.0,0.1784897,-0.0004201,0.0009959,-0.0450983
0.0422409,0.0,0.1800543,-0.0004138,0.0009858,-0.0406946
0.0422409,0.0,0.181619,-0.0004076,0.0009765,-0.0364091
0.0422409,0.0,0.1831836,-0.0004076,0.0009765,-0.0364091
0.0422409,0.0,0.1847482,-0.0004016,0.0009679,-0.0322357
0.0422409,0.0,0.1863128,-0.0003959,0.0009601,-0.0281666
0.0422409,0.0,0.1878774,-0.0003906,0.0009532,-0.0241934
0.0422409,0.0,0.189442,-0.0003906,0.0009532,-0.0241934
0.0422409,0.0,0.1910067,-0.0003857,0.0009472,-0.0203063
0.0422409,0.0,0.1925713,-0.0003814,0.0009422,-0.0164956
0.0422409,0.0,0.1941359,-0.0003777,0.0009381,-0.01275
0.0422409,0.0,0.1957005,-0.0003777,0.0009381,-0.01275
0.0422409,0.0,0.1972651,-0.0003746,0.000935,-0.0090599
0.0422409,0.0,0.1988297,-0.0003721,0.000933,-0.0054117
