x_m,y_m,z_m,U,V,W
0.040681147,0.0,0.1299866023,-0.006161222,-0.137969714,-0.148588025
0.040681147,0.0,0.1315512191,-0.008170852,-0.140137775,-0.147056404
0.040681147,0.0,0.1331158358,-0.010072626,-0.139734924,-0.144811091
0.040681147,0.0,0.1346804526,-0.0122056,-0.139170642,-0.140525141
0.040681147,0.0,0.1362450693,-0.014762839,-0.136363103,-0.138171922
0.040681147,0.0,0.1378096861,-0.015228896,-0.137292607,-0.134918984
0.040681147,0.0,0.1393743028,-0.014579963,-0.143786715,-0.131678304
0.040681147,0.0,0.1409389196,-0.013929746,-0.151057991,-0.127368216
0.040681147,0.0,0.1425035363,-0.013578749,-0.158014803,-0.12227934
0.040681147,0.0,0.1440681531,-0.016459433,-0.154937658,-0.117812322
0.040681147,0.0,0.1456327699,-0.020502033,-0.145141372,-0.114054345
0.040681147,0.0,0.1471973866,-0.022388181,-0.13956753,-0.110778843
0.040681147,0.0,0.1487620034,-0.023778579,-0.137117794,-0.106542116
0.040681147,0.0,0.1503266201,-0.025664899,-0.134651513,-0.10240874
0.040681147,0.0,0.1518912369,-0.026803867,-0.133421797,-0.098047728
0.040681147,0.0,0.1534558536,-0.02778864,-0.132847787,-0.093155272
0.040681147,0.0,0.1550204704,-0.029179489,-0.129603936,-0.088041594
0.040681147,0.0,0.1565850871,-0.029434543,-0.128755109,-0.085045339
0.040681147,0.0,0.1581497039,-0.029267852,-0.128090513,-0.081478933
0.040681147,0.0,0.1597143206,-0.030119311,-0.122161573,-0.078119149
0.040681147,0.0,0.1612789374,-0.031062868,-0.118147957,-0.074650424
0.040681147,0.0,0.1628435542,-0.029884114,-0.121942218,-0.070154427
0.040681147,0.0,0.1644081709,-0.028914946,-0.121985059,-0.066313766
0.040681147,0.0,0.1659727877,-0.029810781,-0.114988823,-0.063968823
0.040681147,0.0,0.1675374044,-0.030522779,-0.110223506,-0.059568981
0.040681147,0.0,0.1691020212,-0.031622874,-0.105423675,-0.055643147
0.040681147,0.0,0.1706666379,-0.031664465,-0.102109603,-0.053558676
0.040681147,0.0,0.1722312547,-0.029923823,-0.102313266,-0.051254127
0.040681147,0.0,0.1737958714,-0.030019217,-0.097600921,-0.047381542
0.040681147,0.0,0.1753604882,-0.029833943,-0.095101733,-0.043050647
0.040681147,0.0,0.1769251049,-0.027945395,-0.095934925,-0.041392239
0.040681147,0.0,0.1784897217,-0.026837249,-0.09118828,-0.04164426
0.040681147,0.0,0.1800543385,-0.026408814,-0.091031704,-0.036872003
0.040681147,0.0,0.1816189552,-0.025138279,-0.096215215,-0.031405414
0.040681147,0.0,0.183183572,-0.023946201,-0.092043648,-0.032403801
0.040681147,0.0,0.1847481887,-0.023790373,-0.085012083,-0.030312173
0.040681147,0.0,0.1863128055,-0.023957824,-0.079194947,-0.028098115
0.040681147,0.0,0.1878774222,-0.023372828,-0.082325317,-0.022238091
0.040681147,0.0,0.189442039,-0.023597726,-0.074655778,-0.021369913
0.040681147,0.0,0.1910066557,-0.025964492,-0.057082509,-0.022050746
0.040681147,0.0,0.1925712725,-0.027589279,-0.052318378,-0.016627568
0.040681147,0.0,0.1941358892,-0.027526978,-0.054945386,-0.012274695
0.040681147,0.0,0.195700506,-0.026496303,-0.0569105,-0.011490496
0.040681147,0.0,0.1972651228,-0.024574606,-0.065261235,-0.00909141
0.040681147,0.0,0.1988297395,-0.022798397,-0.071717501,-0.006419893
0.040681147,0.0,0.2003943563,-0.020721308,-0.07297984,-0.003294599
0.0422408578,0.0,0.0251572798,-0.022416522,-0.005207913,0.032110349
0.0422408578,0.0,0.0267218965,-0.02278946,-0.00632252,0.036625628
0.0422408578,0.0,0.0282865133,-0.023182362,-0.01089409,0.043681765
0.0422408578,0.0,0.02985113,-0.023545974,-0.018162629,0.049202758
0.0422408578,0.0,0.0314157468,-0.023399956,-0.021003074,0.051834468
0.0422408578,0.0,0.0329803635,-0.022714389,-0.034640035,0.05526093
0.0422408578,0.0,0.0345449803,-0.022850675,-0.045565594,0.060112364
0.0422408578,0.0,0.036109597,-0.022652061,-0.06101238,0.065572184
0.0422408578,0.0,0.0376742138,-0.023228222,-0.069049035,0.069867929
0.0422408578,0.0,0.0392388306,-0.024628988,-0.070080173,0.073485487
0.0422408578,0.0,0.0408034473,-0.024912098,-0.078327827,0.07732951
0.0422408578,0.0,0.0423680641,-0.023933404,-0.089725354,0.080903492
0.0422408578,0.0,0.0439326808,-0.023367997,-0.096784567,0.085071453
0.0422408578,0.0,0.0454972976,-0.023061735,-0.10592812,0.091444718
0.0422408578,0.0,0.0470619143,-0.022722594,-0.11665232,0.096643374
0.0422408578,0.0,0.0486265311,-0.022576492,-0.124197923,0.099285479
0.0422408578,0.0,0.0501911478,-0.021874999,-0.133961626,0.104451821
0.0422408578,0.0,0.0517557646,-0.021263395,-0.139809265,0.110432713
0.0422408578,0.0,0.0533203813,-0.020258008,-0.147656971,0.115655569
0.0422408578,0.0,0.0548849981,-0.019371061,-0.156134237,0.12053107
0.0422408578,0.0,0.0564496149,-0.019021848,-0.16086334,0.124916851
0.0422408578,0.0,0.0580142316,-0.019125414,-0.15610836,0.126945341
0.0422408578,0.0,0.0595788484,-0.018737481,-0.157674462,0.130983149
0.0422408578,0.0,0.0611434651,-0.017734154,-0.157589444,0.133886668
0.0422408578,0.0,0.0627080819,-0.016035333,-0.155863808,0.137152639
0.0422408578,0.0,0.0642726986,-0.013894773,-0.158720413,0.139215611
0.0422408578,0.0,0.0658373154,-0.012788894,-0.159126427,0.142943479
0.0422408578,0.0,0.0674019321,-0.01147533,-0.161596108,0.145737858
0.0422408578,0.0,0.0689665489,-0.009748907,-0.168742997,0.147247809
0.0422408578,0.0,0.0705311656,-0.008945529,-0.167833803,0.150368325
0.0422408578,0.0,0.0720957824,-0.008564194,-0.156295383,0.152397764
0.0422408578,0.0,0.0736603992,-0.00765193,-0.146770759,0.153270673
0.0422408578,0.0,0.0752250159,-0.005044303,-0.145007874,0.154117942
0.0422408578,0.0,0.0767896327,-0.002848915,-0.143011557,0.156464138
0.0422408578,0.0,0.0783542494,-0.002316846,-0.136164374,0.158419409
0.0422408578,0.0,0.0799188662,-0.001462596,-0.130355432,0.160753094
0.0422408578,0.0,0.0814834829,0.00105578,-0.125117604,0.161033329
0.0422408578,0.0,0.0830480997,0.004725708,-0.11955818,0.160444878
0.0422408578,0.0,0.0846127164,0.009571432,-0.116787487,0.159326832
0.0422408578,0.0,0.0861773332,0.016776958,-0.118922546,0.159394704
0.0422408578,0.0,0.0877419499,0.028996544,-0.130948683,0.156700717
0.0422408578,0.0,0.0893065667,0.047740638,-0.151676115,0.158522285
0.0422408578,0.0,0.0908711835,0.073763809,-0.187072858,0.160430294
0.0422408578,0.0,0.0924358002,0.112424459,-0.248855529,0.160750405
0.0422408578,0.0,0.094000417,0.161640128,-0.32067037,0.157489668
0.0422408578,0.0,0.0955650337,0.22378288,-0.400171152,0.147454778
0.0422408578,0.0,0.0971296505,0.308298742,-0.51016696,0.133180694
0.0422408578,0.0,0.0986942672,0.409732804,-0.632327093,0.112873251
0.0422408578,0.0,0.100258884,0.499695528,-0.700694648,0.088202274
